fecha,resolucion,despacho,expediente,enlace
2018-03-21,26-2018,"Tribunal Contencioso Administrativo, Sección V",14-009632-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-748354
2018-06-29,79-2018,"Tribunal Contencioso Administrativo, Sección VI",11-002735-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-852381
2018-07-23,1224-2018,Tribunal Contencioso Administrativo,18-001566-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-859915
2018-10-24,128-2018,"Tribunal Contencioso Administrativo, Sección VI",15-010321-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-861760
2019-02-22,22-2019,"Tribunal Contencioso Administrativo, Sección VI",17-004486-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-910825
2019-04-10,308-2019,Sala Primera,13-002997-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0004-935864
2019-04-30,48-2019,"Tribunal Contencioso Administrativo, Sección VI",17-006557-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-916540
2019-05-13,52-2019,"Tribunal Contencioso Administrativo, Sección VI",12-002956-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-930283
2019-05-27,60-2019,"Tribunal Contencioso Administrativo, Sección VI",14-006906-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-930286
2019-07-12,82-2019,"Tribunal Contencioso Administrativo, Sección VI",17-005338-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-930302
2019-07-19,58-2019,"Tribunal Contencioso Administrativo, Sección IV",14-010363-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-931090
2019-07-24,60-2019,"Tribunal Contencioso Administrativo, Sección V",16-004452-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-930280
2019-08-21,69-2019,"Tribunal Contencioso Administrativo, Sección IV",16-007347-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-933891
2019-09-06,88-2019,"Tribunal Contencioso Administrativo, Sección VII",17-005838-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-944777
2019-09-20,114-2019,"Tribunal Contencioso Administrativo, Sección VI",13-008905-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-944755
2019-09-24,96-2019,"Tribunal Contencioso Administrativo, Sección VII",16-009887-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-944780
2019-10-25,135-2019,"Tribunal Contencioso Administrativo, Sección VI",17-008930-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-944772
2019-10-31,137-2019,"Tribunal Contencioso Administrativo, Sección VI",17-003019-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-944773
2019-11-01,141-2019,"Tribunal Contencioso Administrativo, Sección VI",17-004317-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-944775
2019-11-21,149-2019,"Tribunal Contencioso Administrativo, Sección VI",17-004543-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-950310
2019-11-25,97-2019,"Tribunal Contencioso Administrativo, Sección V",17-008260-1027-CA,https://nexuspj.poder-judicial.go.cr/document/sen-1-0034-950245
